,release_year,id,Item_id,sentiment_analysis
0,1997,282010,282010,2
1,1998,70,70,2
2,1998,70,70,0
3,1998,70,70,2
4,1998,70,70,2
5,1998,70,70,2
6,1998,70,70,0
7,1998,70,70,0
8,1998,70,70,2
9,1998,70,70,2
10,1998,70,70,2
11,1998,70,70,2
12,1998,70,70,2
13,1998,70,70,0
14,1998,70,70,2
15,1998,70,70,2
16,1998,70,70,2
17,1998,70,70,2
18,1998,70,70,2
19,1998,70,70,0
20,1998,70,70,2
21,1998,70,70,2
22,1998,70,70,2
23,1998,70,70,2
24,1998,70,70,2
25,1998,70,70,2
26,1998,70,70,2
27,1998,70,70,2
28,2006,2400,2400,2
29,2006,2400,2400,2
30,2006,2400,2400,0
31,2006,2400,2400,2
32,2005,3800,3800,2
33,2006,1520,1520,2
34,2006,4000,4000,2
35,2006,4000,4000,0
36,2006,4000,4000,2
37,2006,4000,4000,2
38,2006,4000,4000,2
39,2006,4000,4000,0
40,2006,4000,4000,2
41,2006,4000,4000,0
42,2006,4000,4000,2
43,2006,4000,4000,2
44,2006,4000,4000,2
45,2006,4000,4000,2
46,2006,4000,4000,2
47,2006,4000,4000,2
48,2006,4000,4000,2
49,2006,4000,4000,2
50,2006,4000,4000,1
51,2006,4000,4000,2
52,2006,4000,4000,0
53,2006,4000,4000,2
54,2006,4000,4000,2
55,2006,4000,4000,2
56,2006,4000,4000,2
57,2006,4000,4000,2
58,2006,4000,4000,1
59,2006,4000,4000,2
60,2006,4000,4000,0
61,2006,4000,4000,2
62,2006,4000,4000,2
63,2006,4000,4000,2
64,2006,4000,4000,2
65,2006,4000,4000,2
66,2006,4000,4000,2
67,2006,4000,4000,2
68,2006,4000,4000,2
69,2006,4000,4000,2
70,2006,4000,4000,2
71,2006,4000,4000,2
72,2006,4000,4000,2
73,2006,4000,4000,2
74,2006,4000,4000,2
75,2006,4000,4000,0
76,2006,4000,4000,2
77,2006,4000,4000,2
78,2006,4000,4000,2
79,2006,4000,4000,2
80,2006,4000,4000,2
81,2006,4000,4000,2
82,2006,4000,4000,2
83,2006,4000,4000,2
84,2006,4000,4000,2
85,2006,4000,4000,2
86,2006,4000,4000,2
87,2006,4000,4000,1
88,2006,4000,4000,1
89,2006,4000,4000,2
90,2006,4000,4000,2
91,2006,4000,4000,2
92,2006,4000,4000,2
93,2006,4000,4000,2
